image_name,classifier_label,file_path
800113bb65efe69e.jpg,healthy,/content/plant_pathology_data/MyDrive/plant_pathology_data/resized_train_images/800113bb65efe69e.jpg
8002cb321f8bfcdf.jpg,scab frog_eye_leaf_spot complex,/content/plant_pathology_data/MyDrive/plant_pathology_data/resized_train_images/8002cb321f8bfcdf.jpg
80070f7fb5e2ccaa.jpg,scab,/content/plant_pathology_data/MyDrive/plant_pathology_data/resized_train_images/80070f7fb5e2ccaa.jpg
80077517781fb94f.jpg,scab,/content/plant_pathology_data/MyDrive/plant_pathology_data/resized_train_images/80077517781fb94f.jpg
800cbf0ff87721f8.jpg,complex,/content/plant_pathology_data/MyDrive/plant_pathology_data/resized_train_images/800cbf0ff87721f8.jpg
800edef467d27c15.jpg,healthy,/content/plant_pathology_data/MyDrive/plant_pathology_data/resized_train_images/800edef467d27c15.jpg
800f85dc5f407aef.jpg,rust,/content/plant_pathology_data/MyDrive/plant_pathology_data/resized_train_images/800f85dc5f407aef.jpg
801d6dcd96e48ebc.jpg,healthy,/content/plant_pathology_data/MyDrive/plant_pathology_data/resized_train_images/801d6dcd96e48ebc.jpg
801f78399a44e7af.jpg,complex,/content/plant_pathology_data/MyDrive/plant_pathology_data/resized_train_images/801f78399a44e7af.jpg
8021b94d437eb7d3.jpg,healthy,/content/plant_pathology_data/MyDrive/plant_pathology_data/resized_train_images/8021b94d437eb7d3.jpg
802291cee9fec9f4.jpg,complex,/content/plant_pathology_data/MyDrive/plant_pathology_data/resized_train_images/802291cee9fec9f4.jpg
80230a9a3f7a9f6b.jpg,scab,/content/plant_pathology_data/MyDrive/plant_pathology_data/resized_train_images/80230a9a3f7a9f6b.jpg
8023c3f31f875b6c.jpg,healthy,/content/plant_pathology_data/MyDrive/plant_pathology_data/resized_train_images/8023c3f31f875b6c.jpg
80261f473eafb92c.jpg,scab,/content/plant_pathology_data/MyDrive/plant_pathology_data/resized_train_images/80261f473eafb92c.jpg
80273091d9e9bddb.jpg,frog_eye_leaf_spot,/content/plant_pathology_data/MyDrive/plant_pathology_data/resized_train_images/80273091d9e9bddb.jpg
802962dc3ecdbb8d.jpg,scab,/content/plant_pathology_data/MyDrive/plant_pathology_data/resized_train_images/802962dc3ecdbb8d.jpg
802969daaddbbc8c.jpg,scab,/content/plant_pathology_data/MyDrive/plant_pathology_data/resized_train_images/802969daaddbbc8c.jpg
802b34badefa2ed0.jpg,scab,/content/plant_pathology_data/MyDrive/plant_pathology_data/resized_train_images/802b34badefa2ed0.jpg
802b59956a7aa5e7.jpg,healthy,/content/plant_pathology_data/MyDrive/plant_pathology_data/resized_train_images/802b59956a7aa5e7.jpg
